what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.ui,1.0.4.R34x_v20090123,org.eclipse.equinox.p2.ui,1300111152421
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.1.R34x_v20081029,org.eclipse.equinox.p2.ui.sdk,1300111152421
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,1.0.4.v20080930,org.eclipse.equinox.simpleconfigurator.manipulator,1300111152421
started,bundle,org.eclipse.help,3.3.102.v20081014_34x,org.eclipse.help,1300111152421
started,bundle,org.eclipse.jdt.apt.core,3.3.101.R34x_v20090114-1205,org.eclipse.jdt.apt.core,1300111152421
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.101.R34x_v20081108-1950,org.eclipse.jdt.apt.pluggable.core,1300111152421
started,bundle,org.eclipse.jdt.core,3.4.4.v_894_R34x,org.eclipse.jdt.core,1300111152421
started,bundle,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui,1300111152421
started,bundle,org.eclipse.jface,3.4.2.M20090107-0800,org.eclipse.jface,1300111152421
started,bundle,org.eclipse.ltk.core.refactoring,3.4.2.r342_v20081028-0800,org.eclipse.ltk.core.refactoring,1300111152421
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,org.eclipse.mylyn.bugzilla.core,1300111152421
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,org.eclipse.mylyn.bugzilla.ui,1300111152421
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,org.eclipse.mylyn.commons.net,1300111152421
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,org.eclipse.mylyn.commons.ui,1300111152437
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,org.eclipse.mylyn.context.core,1300111152437
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,org.eclipse.mylyn.context.ui,1300111152468
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,org.eclipse.mylyn.monitor.ui,1300111152468
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,org.eclipse.mylyn.tasks.ui,1300111152468
started,bundle,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui,1300111152500
started,bundle,org.eclipse.team.core,3.4.2.r34x_20080115,org.eclipse.team.core,1300111152500
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20090115,org.eclipse.team.cvs.core,1300111152500
started,bundle,org.eclipse.team.cvs.ui,3.3.100.r34x_20090121,org.eclipse.team.cvs.ui,1300111152515
started,bundle,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui,1300111152531
started,bundle,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console,1300111152531
started,bundle,org.eclipse.ui.forms,3.3.103.v20081027_34x,org.eclipse.ui.forms,1300111152546
